EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,backward_eval_rewards,forward_eval_rewards,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,alpha_0_Mean,alpha_0_Std,alpha_0_Max,alpha_0_Min,alpha_1_Mean,alpha_1_Std,alpha_1_Max,alpha_1_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_norm_Mean,Training/pf_norm_Std,Training/pf_norm_Max,Training/pf_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_prob_0_Mean,log_prob_0_Std,log_prob_0_Max,log_prob_0_Min,log_prob_1_Mean,log_prob_1_Std,log_prob_1_Max,log_prob_1_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
10,3.358053207397461,12400,-1.68930,-87.07526,-0.09346,0.00183,2.65986,0.69631,-2.26717,-2.56874,-0.22154,0.02014,-0.17461,-0.28251,0.53289,0.00920,0.54890,0.51719,0.53286,0.00921,0.54888,0.51716,-6.32169,0.17118,-6.02248,-6.63243,-25.46966,0.45249,-24.63585,-26.69054,0.68471,0.13096,1.07129,0.47625,0.70382,0.11814,1.02948,0.51653,0.18322,0.02857,0.27823,0.12052,72.66922,23.26396,126.22623,24.14662,74.91942,22.52374,122.34589,32.85174,-0.14706,0.00458,-0.13522,-0.15790,0.02342,0.00208,0.02875,0.01922,-0.08774,0.00799,-0.06593,-0.10498,-0.27293,0.01514,-0.23799,-0.30592,-4.04238,0.01717,-3.99456,-4.08908,-4.04835,0.01831,-3.99116,-4.09092,-4.04536,0.01276,-4.01684,-4.07891,0.43510,0.01720,0.48401,0.38670,-2.54383,0.20090,-1.62831,-2.89991,-6.80399,0.68238,-5.76152,-9.40725,-0.00310,0.01227,0.02410,-0.03277,0.11485,0.00512,0.12434,0.10180,0.35259,0.02998,0.44069,0.28888,-0.38637,0.03295,-0.31982,-0.51379
11,4.461870431900024,12800,-2.34212,-171.17551,-0.27089,0.00158,2.65906,1.80118,-3.92768,-4.60563,-0.21842,0.01801,-0.16082,-0.27349,0.50195,0.00866,0.51703,0.48717,0.50192,0.00866,0.51700,0.48714,-6.91455,0.17093,-6.62236,-7.21383,-26.66435,0.42914,-25.86802,-27.89121,0.69220,0.13725,1.14923,0.47277,0.70948,0.12627,1.08289,0.50179,0.19427,0.02649,0.26670,0.14285,77.85997,24.51146,141.14879,19.30687,80.22876,24.85455,143.18628,22.79448,-0.14840,0.00437,-0.13735,-0.16134,0.02820,0.00198,0.03395,0.02447,-0.08295,0.00643,-0.06014,-0.09479,-0.31931,0.01097,-0.27734,-0.34489,-4.03222,0.01944,-3.97404,-4.08756,-4.03538,0.01825,-3.98437,-4.09694,-4.03380,0.01487,-3.99093,-4.07525,0.46362,0.01615,0.53976,0.41885,-2.44550,0.19847,-1.66733,-2.83798,-6.89706,0.67868,-5.63385,-10.44993,-0.00501,0.01693,0.03441,-0.05249,0.12684,0.00429,0.13888,0.11598,0.41546,0.03668,0.51725,0.33638,-0.42686,0.03799,-0.34742,-0.54292
12,3.529379367828369,13200,-2.45972,29.56956,0.20392,0.00155,2.64595,0.88184,-1.42676,-2.08821,-0.22386,0.02027,-0.16443,-0.27163,0.47282,0.00816,0.48702,0.45889,0.47279,0.00816,0.48699,0.45887,-7.50621,0.16915,-7.21410,-7.79772,-27.86034,0.45014,-26.94434,-28.87619,0.59125,0.12115,1.14682,0.43485,0.71588,0.13526,1.10725,0.48311,0.20369,0.03434,0.30585,0.13807,56.88572,25.90457,146.40907,15.31345,85.16508,26.42168,146.02440,17.94766,-0.15425,0.00743,-0.13843,-0.16985,0.03274,0.00295,0.03860,0.02365,-0.08141,0.00705,-0.06518,-0.09669,-0.36478,0.02819,-0.26894,-0.42133,-4.02325,0.02261,-3.94775,-4.07625,-4.02234,0.02072,-3.96604,-4.07735,-4.02280,0.01639,-3.98231,-4.06153,0.48536,0.01958,0.54774,0.43072,-2.34427,0.22040,-1.71592,-2.77866,-6.99159,0.92264,-5.55836,-10.91963,-0.00827,0.01616,0.02152,-0.04224,0.13611,0.00542,0.15472,0.12566,0.45123,0.03928,0.57890,0.37166,-0.47556,0.04179,-0.37798,-0.57414
13,4.341625928878784,13600,-2.70479,-140.84146,-0.24359,0.00152,2.87489,1.46516,-2.45050,-3.69476,-0.22123,0.01886,-0.16555,-0.26281,0.44539,0.00768,0.45876,0.43228,0.44537,0.00768,0.45874,0.43227,-8.09309,0.16988,-7.79470,-8.39472,-28.80206,0.38842,-27.97340,-29.78042,0.56952,0.11422,1.14092,0.43765,0.73308,0.13686,1.10307,0.49240,0.20723,0.03173,0.30270,0.13551,58.41364,23.81378,155.23289,21.69884,90.14376,27.43466,147.74919,26.59188,-0.15918,0.00738,-0.14564,-0.17685,0.03552,0.00229,0.04061,0.02945,-0.08309,0.00774,-0.06410,-0.10134,-0.41095,0.02522,-0.31529,-0.46420,-4.00837,0.02264,-3.94931,-4.07650,-4.00730,0.02313,-3.94692,-4.06185,-4.00784,0.01739,-3.95337,-4.05386,0.50364,0.01936,0.54885,0.45067,-2.23505,0.23547,-1.35765,-2.64626,-6.84521,0.62722,-5.67221,-8.99562,-0.00866,0.02233,0.03683,-0.05826,0.14458,0.00512,0.15573,0.13009,0.49934,0.04943,0.70095,0.35381,-0.51424,0.05206,-0.40615,-0.67670
14,7.464487552642822,14000,-3.06493,-41.60058,-0.22997,0.00149,2.05067,5.41227,-3.06658,-4.55327,-0.22221,0.01923,-0.17582,-0.27446,0.41956,0.00723,0.43215,0.40721,0.41954,0.00723,0.43214,0.40720,-8.68116,0.16894,-8.38042,-8.98707,-29.57359,0.37831,-28.86242,-30.62051,0.73268,0.16922,1.16312,0.44891,0.73404,0.13429,1.11106,0.53924,0.20974,0.03476,0.34817,0.13997,95.23947,29.46754,161.10890,30.90408,93.47420,26.41307,151.61688,48.61106,-0.16119,0.00643,-0.13974,-0.17478,0.04128,0.00273,0.04756,0.03102,-0.07878,0.00580,-0.06557,-0.09263,-0.45806,0.02496,-0.34740,-0.49424,-3.99579,0.02351,-3.94316,-4.06437,-3.99739,0.02158,-3.93730,-4.05874,-3.99659,0.01733,-3.94759,-4.04506,0.53107,0.02236,0.60331,0.46542,-2.12417,0.25077,-1.27905,-2.63627,-6.99431,0.71006,-5.54848,-10.00692,-0.01169,0.01924,0.03032,-0.05077,0.15444,0.00641,0.16971,0.13865,0.53645,0.06276,0.73381,0.38251,-0.56567,0.05660,-0.42798,-0.69962
15,6.133957624435425,14400,-3.04866,-122.02786,-0.31506,0.02810,2.47298,3.63284,-1.99530,-2.67792,-0.22201,0.01932,-0.17389,-0.26971,0.39524,0.00681,0.40709,0.38362,0.39523,0.00681,0.40708,0.38361,-9.25859,0.16760,-8.95140,-9.58504,-30.37593,0.36850,-29.76037,-31.38376,0.73250,0.15464,1.07622,0.50027,0.74361,0.14224,1.09177,0.51579,0.20425,0.02730,0.28450,0.14996,96.79631,27.78176,151.63849,42.12377,96.81987,29.10641,161.62770,39.40402,-0.16399,0.00494,-0.15173,-0.17513,0.04473,0.00267,0.05188,0.03824,-0.07256,0.00676,-0.04613,-0.09175,-0.49223,0.02362,-0.38979,-0.53564,-3.97607,0.02303,-3.91482,-4.05652,-3.97532,0.02580,-3.90851,-4.03699,-3.97570,0.01863,-3.91403,-4.02105,0.56521,0.02013,0.62614,0.51908,-1.97188,0.28454,-0.95886,-2.47767,-7.05237,0.72158,-5.65193,-9.52167,-0.00651,0.01393,0.02584,-0.04612,0.16984,0.00557,0.18320,0.15957,0.62108,0.05783,0.77173,0.49142,-0.61374,0.04620,-0.50060,-0.73109
16,5.326833724975586,14800,-2.86909,-109.30085,-0.01856,0.00157,2.48721,2.83799,-2.94794,-3.78969,-0.22359,0.02030,-0.16063,-0.27611,0.37235,0.00641,0.38351,0.36140,0.37234,0.00641,0.38350,0.36140,-9.83924,0.17094,-9.54458,-10.13207,-31.11592,0.38258,-30.36738,-31.93406,0.73631,0.16155,1.16292,0.47214,0.63416,0.12853,1.09513,0.44148,0.22806,0.04220,0.39853,0.14346,98.68102,29.05476,157.40222,36.01884,69.32234,30.99303,160.84196,23.31840,-0.16808,0.00596,-0.15453,-0.18285,0.04897,0.00287,0.05684,0.04113,-0.07040,0.00743,-0.05026,-0.08515,-0.53620,0.02728,-0.40166,-0.59381,-3.96251,0.02344,-3.90016,-4.04584,-3.95946,0.02262,-3.89426,-4.01630,-3.96099,0.01757,-3.91626,-4.00675,0.58608,0.01649,0.62962,0.53618,-1.82865,0.28533,-0.92258,-2.34237,-7.08761,0.73738,-5.78440,-9.84330,-0.00671,0.01726,0.03481,-0.04447,0.17730,0.00423,0.18944,0.16363,0.63726,0.05754,0.81531,0.50867,-0.64522,0.05074,-0.53573,-0.78101
17,6.897299528121948,15200,-3.11312,-76.71225,-0.13124,0.00160,2.86444,4.03121,-2.51980,-3.43541,-0.22095,0.01821,-0.17392,-0.27805,0.35079,0.00603,0.36130,0.34050,0.35079,0.00603,0.36130,0.34050,-10.40649,0.16565,-10.10812,-10.70589,-31.76808,0.35291,-31.04873,-32.70045,0.73187,0.15876,1.13661,0.48192,0.55519,0.04285,0.69453,0.46862,0.20918,0.02889,0.31540,0.15499,100.34341,29.08666,165.71104,38.51371,57.00235,14.12923,101.39289,25.87100,-0.17567,0.00747,-0.15188,-0.19255,0.05444,0.00360,0.06508,0.04546,-0.06844,0.00752,-0.04979,-0.08729,-0.57838,0.02405,-0.45244,-0.61985,-3.93491,0.02646,-3.86230,-4.00759,-3.93625,0.02524,-3.87460,-3.99747,-3.93558,0.01939,-3.88537,-3.98760,0.62302,0.02197,0.67748,0.55159,-1.66879,0.31919,-0.52025,-2.24201,-7.15454,0.71220,-5.87402,-9.92159,-0.00867,0.01459,0.02477,-0.03949,0.19210,0.00564,0.20424,0.17324,0.71028,0.06773,0.91338,0.55342,-0.69717,0.06162,-0.58225,-0.90744
18,2.663958787918091,15600,-4.19259,-81.50088,-0.21943,0.00159,2.53009,0.13223,-8.31805,-8.62192,-0.22320,0.02130,-0.16942,-0.27407,0.33051,0.00568,0.34040,0.32082,0.33051,0.00568,0.34040,0.32082,-10.97036,0.16422,-10.67820,-11.26129,-32.31472,0.33584,-31.64008,-33.11781,0.73657,0.15249,1.09928,0.52572,0.55225,0.04658,0.76543,0.44738,0.23313,0.03612,0.35923,0.16206,100.65158,28.52696,154.71461,46.20582,57.71321,16.37035,114.02016,14.55918,-0.18044,0.00608,-0.16623,-0.19495,0.06003,0.00325,0.06956,0.05265,-0.06321,0.00735,-0.03991,-0.07975,-0.60981,0.03290,-0.46167,-0.65085,-3.91104,0.02863,-3.81680,-3.98433,-3.90985,0.02805,-3.84414,-3.97617,-3.91045,0.02168,-3.84358,-3.96230,0.65334,0.02315,0.71186,0.58501,-1.54271,0.33705,0.08304,-2.12801,-7.19112,0.70159,-6.06173,-10.81525,-0.00993,0.01779,0.03672,-0.07549,0.20383,0.00661,0.22128,0.18955,0.76453,0.08099,1.00586,0.56760,-0.76233,0.07119,-0.61942,-0.99573
19,3.9491145610809326,16000,-3.86050,-95.40488,-0.03151,0.00155,2.34722,1.60029,-1.96338,-2.33559,-0.21978,0.01970,-0.17354,-0.27518,0.31142,0.00535,0.32073,0.30229,0.31142,0.00535,0.32073,0.30229,-11.53446,0.16031,-11.23954,-11.84286,-32.76541,0.32883,-32.08389,-33.50505,0.73600,0.15159,1.12619,0.49015,0.56258,0.05835,0.84611,0.45139,0.23590,0.03375,0.36408,0.16039,101.44161,28.67844,163.88602,49.42939,64.60789,17.79337,129.32487,23.75863,-0.18546,0.00506,-0.17382,-0.19829,0.06422,0.00339,0.07368,0.05565,-0.05264,0.00840,-0.03045,-0.07350,-0.65541,0.02585,-0.48513,-0.69297,-3.88785,0.03025,-3.78325,-3.97973,-3.88910,0.02889,-3.79827,-3.96290,-3.88847,0.02257,-3.81693,-3.94690,0.68324,0.02724,0.74985,0.61168,-1.41655,0.37564,-0.14285,-2.13741,-7.25136,0.72510,-6.00859,-10.18108,-0.01326,0.01837,0.03155,-0.05952,0.21383,0.00763,0.23434,0.19571,0.78647,0.07451,1.04484,0.64869,-0.82574,0.08375,-0.65728,-1.06135
