EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,forward_10_eval_rewards,forward_5_eval_rewards,forward_6_eval_rewards,forward_7_eval_rewards,forward_8_eval_rewards,forward_9_eval_rewards,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,alpha_0_Mean,alpha_0_Std,alpha_0_Max,alpha_0_Min,alpha_1_Mean,alpha_1_Std,alpha_1_Max,alpha_1_Min,alpha_2_Mean,alpha_2_Std,alpha_2_Max,alpha_2_Min,alpha_3_Mean,alpha_3_Std,alpha_3_Max,alpha_3_Min,alpha_4_Mean,alpha_4_Std,alpha_4_Max,alpha_4_Min,alpha_5_Mean,alpha_5_Std,alpha_5_Max,alpha_5_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_norm_Mean,Training/pf_norm_Std,Training/pf_norm_Max,Training/pf_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_prob_0_Mean,log_prob_0_Std,log_prob_0_Max,log_prob_0_Min,log_prob_1_Mean,log_prob_1_Std,log_prob_1_Max,log_prob_1_Min,log_prob_2_Mean,log_prob_2_Std,log_prob_2_Max,log_prob_2_Min,log_prob_3_Mean,log_prob_3_Std,log_prob_3_Max,log_prob_3_Min,log_prob_4_Mean,log_prob_4_Std,log_prob_4_Max,log_prob_4_Min,log_prob_5_Mean,log_prob_5_Std,log_prob_5_Max,log_prob_5_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
0,228.8487582206726,13200,-7500.39086,-9387.83710,-6.41228,58.04334,12.69010,158.05163,-10000.85922,-5000.57855,-6000.02876,-7000.02270,-8000.24115,-9000.61478,-7.81327,0.01628,-7.76707,-7.87138,0.97047,0.01678,0.99970,0.94183,0.97046,0.01679,0.99970,0.94182,0.97045,0.01679,0.99970,0.94181,0.97046,0.01679,0.99970,0.94182,0.97046,0.01678,0.99970,0.94183,0.97046,0.01679,0.99970,0.94183,-0.30018,0.17378,-0.00000,-0.59979,0.24546,1.26245,1.62306,-4.00800,2.83420,3.94493,18.37229,0.26792,2.71455,3.96900,18.37325,0.26820,0.33165,0.17676,1.45002,0.13640,19.78436,32.25464,194.79768,0.99775,18.37291,29.23027,176.10175,1.14107,-0.13626,0.01945,-0.00053,-0.18924,0.00750,0.00298,0.01757,0.00278,-0.12454,0.01903,0.00676,-0.17647,-0.14814,0.02109,-0.00918,-0.20321,-4.07161,0.03243,-3.97701,-4.13902,-4.07192,0.03402,-3.97219,-4.14707,-4.07142,0.03487,-3.96124,-4.13781,-4.06849,0.03209,-3.96952,-4.13373,-4.06818,0.03450,-3.97224,-4.15762,-4.06943,0.03312,-3.96508,-4.13307,-4.07018,0.02730,-3.99411,-4.11226,0.37318,0.06894,0.54902,0.25672,-2.98018,0.28904,-1.82261,-3.58845,-6.92320,0.70722,-5.44744,-9.73496,0.04080,0.02677,0.09128,-0.00637,0.06043,0.03719,0.13452,0.00470,0.13506,0.08557,0.30200,0.00912,-0.03034,0.01980,0.00236,-0.09074
1,462.5485427379608,14400,-7505.13194,-9295.36740,-10.28032,0.00328,9.00737,453.53784,-10008.51866,-5009.21560,-6007.77803,-7008.24656,-8008.48658,-9008.16659,-7.80229,0.01696,-7.74626,-7.85591,0.91404,0.01581,0.94155,0.88705,0.91402,0.01581,0.94154,0.88704,0.91402,0.01580,0.94153,0.88705,0.91403,0.01581,0.94153,0.88705,0.91403,0.01581,0.94155,0.88706,0.91404,0.01580,0.94154,0.88708,-0.90159,0.17369,-0.60157,-1.20067,3.04271,0.91942,4.72727,1.53043,0.28536,0.01859,0.34454,0.24293,0.30863,0.02278,0.37435,0.26076,0.21636,0.04847,0.38260,0.09645,8.92447,4.40224,27.37677,3.04593,12.00875,5.12242,25.81993,2.91683,-0.14694,0.00523,-0.13416,-0.16144,0.00781,0.00173,0.01155,0.00367,-0.13250,0.00651,-0.11640,-0.15122,-0.16500,0.00683,-0.14460,-0.18082,-4.05250,0.02569,-3.97159,-4.13892,-4.05087,0.02484,-3.99054,-4.12725,-4.04667,0.02317,-3.95573,-4.11305,-4.04418,0.02566,-3.96167,-4.10617,-4.04586,0.02467,-3.98220,-4.10074,-4.04060,0.02769,-3.94141,-4.11160,-4.04678,0.01171,-4.01220,-4.07429,0.43080,0.01732,0.47593,0.39492,-2.77156,0.08741,-2.47684,-2.96527,-6.94040,0.75307,-5.79817,-10.15532,0.06593,0.00502,0.07735,0.05301,0.09510,0.00568,0.11029,0.08056,0.23533,0.01814,0.27607,0.19738,-0.04934,0.01094,-0.02629,-0.07167
2,454.89804434776306,15600,-7909.68816,-9290.60422,-5.01846,0.07544,9.92701,444.89554,-10012.26694,-5008.38422,-6009.61632,-7010.81680,-8011.97330,-9010.40562,-7.79651,0.01631,-7.75468,-7.83958,0.86086,0.01489,0.88678,0.83545,0.86085,0.01489,0.88677,0.83545,0.86087,0.01489,0.88679,0.83546,0.86088,0.01489,0.88679,0.83547,0.86087,0.01490,0.88679,0.83545,0.86090,0.01489,0.88681,0.83549,-1.50238,0.17319,-1.20256,-1.79883,6.57326,1.10369,8.60286,4.59678,0.35550,0.04387,0.53631,0.27222,0.32177,0.02477,0.39354,0.26150,0.21282,0.04301,0.35566,0.11469,23.41212,10.14430,54.99311,6.39850,15.73649,6.23205,33.91877,4.57425,-0.15816,0.00655,-0.14091,-0.17256,0.01234,0.00324,0.02065,0.00679,-0.13176,0.00680,-0.11683,-0.14566,-0.19963,0.01564,-0.16819,-0.23403,-4.04358,0.02485,-3.95737,-4.11050,-4.04171,0.02586,-3.98826,-4.11970,-4.03943,0.02602,-3.97847,-4.10316,-4.03411,0.02686,-3.94593,-4.10367,-4.04103,0.02542,-3.98373,-4.10749,-4.03356,0.02584,-3.95414,-4.09509,-4.03890,0.01265,-4.00306,-4.07291,0.44234,0.01908,0.50074,0.39476,-2.72180,0.10603,-2.35378,-2.99162,-7.09665,0.70896,-5.91699,-10.16161,0.07633,0.00640,0.09208,0.06291,0.09538,0.00598,0.10844,0.08046,0.29091,0.03138,0.36676,0.24014,-0.15132,0.07577,-0.04060,-0.36589
3,472.017596244812,16800,-7812.42089,-9243.62813,-6.26323,0.02877,9.17546,462.81331,-10013.46162,-5013.24145,-6013.44472,-7013.00743,-8013.46850,-9013.32303,-7.79410,0.01683,-7.74733,-7.84075,0.81082,0.01401,0.83520,0.78692,0.81080,0.01402,0.83520,0.78688,0.81080,0.01402,0.83521,0.78687,0.81080,0.01403,0.83522,0.78686,0.81079,0.01403,0.83520,0.78686,0.81083,0.01403,0.83524,0.78689,-2.10225,0.17311,-1.79916,-2.39998,10.59056,1.23184,12.79619,8.28847,0.43110,0.07516,0.86661,0.33512,0.37795,0.03758,0.49444,0.30737,0.19988,0.03836,0.31529,0.10962,30.51455,15.48167,105.06507,9.55480,25.27016,10.76682,52.72276,8.10362,-0.17191,0.00571,-0.15753,-0.18393,0.01616,0.00255,0.02184,0.01033,-0.13584,0.00907,-0.11647,-0.15501,-0.22774,0.01350,-0.20346,-0.25961,-4.02143,0.02614,-3.94341,-4.09338,-4.03173,0.02836,-3.93936,-4.10682,-4.03307,0.02724,-3.95265,-4.12398,-4.03474,0.02460,-3.98080,-4.09752,-4.03455,0.02633,-3.96672,-4.10067,-4.03196,0.02421,-3.95931,-4.08382,-4.03125,0.01195,-4.00381,-4.06199,0.44682,0.01762,0.49061,0.40894,-2.64356,0.12755,-2.13675,-2.93070,-7.13725,0.74020,-5.86430,-11.52251,0.07688,0.00622,0.09310,0.06300,0.09764,0.00585,0.10941,0.08585,0.33835,0.02040,0.38986,0.27676,-0.34784,0.06400,-0.21591,-0.52139
4,461.024610042572,18000,-7710.30181,-9325.87323,-6.47217,0.12304,9.91946,450.98205,-10008.01293,-5008.54107,-6008.91583,-7009.14375,-8008.21812,-9006.94956,-7.79014,0.01726,-7.74944,-7.83777,0.76372,0.01319,0.78669,0.74122,0.76367,0.01320,0.78664,0.74114,0.76364,0.01321,0.78664,0.74109,0.76362,0.01322,0.78663,0.74106,0.76363,0.01321,0.78662,0.74109,0.76364,0.01322,0.78665,0.74108,-2.70261,0.17300,-2.40673,-3.00252,14.94836,1.32945,17.41235,12.59860,0.55519,0.13105,1.01670,0.38478,0.46199,0.06274,0.71589,0.34885,0.18877,0.03316,0.30590,0.11577,50.81995,30.41048,139.18288,12.14114,42.85285,17.41565,93.66022,14.94213,-0.18252,0.00602,-0.16959,-0.19355,0.01940,0.00190,0.02447,0.01490,-0.13537,0.01053,-0.10599,-0.15443,-0.24777,0.01118,-0.22633,-0.28698,-4.00957,0.03181,-3.93299,-4.07684,-4.02421,0.02734,-3.94366,-4.10040,-4.03287,0.02326,-3.97555,-4.09819,-4.03795,0.02476,-3.95396,-4.10592,-4.02959,0.02584,-3.95348,-4.08772,-4.03782,0.02863,-3.96292,-4.11621,-4.02867,0.01392,-3.99489,-4.05797,0.44894,0.01990,0.50738,0.39143,-2.58495,0.15408,-2.10340,-2.95047,-7.23903,0.79973,-5.83517,-10.73111,0.06725,0.00969,0.08694,0.04587,0.10361,0.00609,0.11771,0.09091,0.37435,0.02548,0.42423,0.32611,-0.43683,0.04562,-0.33650,-0.55710
5,462.4662766456604,19200,-7510.02491,-9312.03968,-9.41744,0.10810,10.13765,452.22048,-10011.17603,-5011.28403,-6011.44381,-7012.08520,-8011.32783,-9009.70496,-7.78343,0.01585,-7.74407,-7.83423,0.71937,0.01243,0.74100,0.69816,0.71929,0.01242,0.74091,0.69809,0.71923,0.01244,0.74087,0.69800,0.71917,0.01245,0.74083,0.69793,0.71921,0.01245,0.74087,0.69797,0.71919,0.01245,0.74085,0.69795,-3.30101,0.17305,-3.00204,-3.59788,19.54313,1.37161,22.19283,16.89060,0.81125,0.15299,1.30941,0.52787,0.54776,0.05844,0.76797,0.43629,0.18448,0.03374,0.31304,0.11480,97.83787,31.64089,180.39230,30.43543,51.70455,18.66280,103.46011,16.41755,-0.19340,0.00579,-0.18171,-0.21087,0.02334,0.00261,0.02899,0.01656,-0.14420,0.00646,-0.12366,-0.15389,-0.27096,0.01110,-0.24860,-0.30686,-4.00436,0.02843,-3.92582,-4.08153,-4.00690,0.02705,-3.92771,-4.08043,-4.02204,0.02250,-3.96499,-4.07810,-4.03253,0.02573,-3.97479,-4.10528,-4.03157,0.02503,-3.95995,-4.10088,-4.02935,0.02580,-3.96320,-4.10450,-4.02113,0.01135,-3.99179,-4.05821,0.45422,0.01594,0.49235,0.40540,-2.48603,0.19225,-1.81341,-2.91447,-7.25058,0.72089,-6.01544,-10.20598,0.05709,0.00700,0.07363,0.04182,0.11099,0.00521,0.12320,0.09793,0.42223,0.02819,0.49387,0.35594,-0.48878,0.03887,-0.40117,-0.59202
6,461.3541669845581,20400,-7811.62142,-9166.52883,-7.20122,0.11273,9.73933,451.50205,-10012.84232,-5011.67256,-6011.71495,-7012.43409,-8012.91443,-9010.98324,-7.78684,0.01547,-7.74337,-7.82303,0.67758,0.01170,0.69795,0.65762,0.67750,0.01171,0.69788,0.65753,0.67741,0.01171,0.69779,0.65742,0.67732,0.01172,0.69772,0.65732,0.67735,0.01172,0.69776,0.65735,0.67735,0.01172,0.69775,0.65736,-3.89912,0.17198,-3.60454,-4.19312,24.32944,1.43139,27.10920,21.62364,0.91126,0.15216,1.41257,0.63426,0.70849,0.17936,2.01253,0.50640,0.20319,0.03883,0.35832,0.12588,108.22213,37.97127,194.41347,34.68624,83.98713,42.66088,297.47263,22.82636,-0.20410,0.00970,-0.18181,-0.22520,0.02676,0.00316,0.03351,0.01951,-0.14803,0.00924,-0.12756,-0.17235,-0.29772,0.01490,-0.25963,-0.32956,-3.99225,0.03370,-3.91137,-4.09645,-4.00265,0.02878,-3.93278,-4.08136,-4.01562,0.02704,-3.95641,-4.09284,-4.02995,0.02749,-3.95555,-4.10644,-4.03007,0.02455,-3.96591,-4.10036,-4.02243,0.03038,-3.92857,-4.10197,-4.01550,0.01612,-3.97113,-4.05609,0.45657,0.02514,0.52643,0.40738,-2.56047,0.18184,-1.77933,-2.97970,-7.37619,0.72181,-6.13601,-9.55237,0.05094,0.01249,0.08792,0.00782,0.11142,0.00711,0.13070,0.09507,0.48265,0.04314,0.59482,0.40652,-0.47764,0.05747,-0.32965,-0.65855
7,459.75260877609253,21600,-7914.29986,-9405.46038,-6.40121,0.01776,10.50495,449.22985,-10016.07041,-5015.62256,-6015.80235,-7015.70066,-8016.02201,-9014.60653,-7.77797,0.01374,-7.74282,-7.81890,0.63825,0.01101,0.65742,0.61946,0.63816,0.01102,0.65734,0.61936,0.63804,0.01102,0.65723,0.61924,0.63792,0.01103,0.65712,0.61911,0.63794,0.01104,0.65715,0.61910,0.63796,0.01103,0.65716,0.61915,-4.49288,0.17038,-4.19970,-4.78743,29.27650,1.47191,32.28012,26.61804,0.84821,0.07146,1.09684,0.67501,1.09757,0.26059,1.86196,0.63260,0.19377,0.02973,0.29518,0.12575,78.99013,24.90877,158.63474,38.19783,166.91720,53.11429,288.95471,38.58815,-0.21454,0.00872,-0.19602,-0.23031,0.03159,0.00258,0.03723,0.02704,-0.14447,0.01054,-0.11844,-0.17020,-0.33116,0.02047,-0.28855,-0.39179,-3.97410,0.03467,-3.89068,-4.06186,-3.98879,0.03178,-3.89981,-4.08806,-3.99916,0.02949,-3.90920,-4.08936,-4.01601,0.02809,-3.94237,-4.08813,-4.02500,0.02825,-3.95676,-4.10553,-4.01049,0.02938,-3.93545,-4.09951,-4.00226,0.01791,-3.94968,-4.05020,0.47460,0.02361,0.54318,0.41548,-2.46567,0.19897,-1.77302,-2.80759,-7.39076,0.73799,-5.94904,-10.41699,0.04867,0.01116,0.07420,0.01961,0.11895,0.00627,0.13514,0.10696,0.59124,0.05612,0.74790,0.46324,-0.49567,0.05284,-0.38915,-0.67624
8,461.48326563835144,22800,-7718.68462,-9156.88577,-5.98513,0.01975,10.11356,451.34989,-10023.63842,-5019.27045,-6018.78930,-7021.85220,-8019.73841,-9021.37747,-7.76682,0.01644,-7.72306,-7.80381,0.60125,0.01035,0.61928,0.58359,0.60113,0.01036,0.61917,0.58345,0.60102,0.01036,0.61906,0.58335,0.60086,0.01037,0.61892,0.58316,0.60084,0.01038,0.61892,0.58312,0.60091,0.01037,0.61897,0.58321,-5.07881,0.16786,-4.78252,-5.38619,34.24840,1.50616,36.93151,30.92455,0.95614,0.10194,1.27043,0.77132,1.15118,0.26637,2.06966,0.78343,0.21557,0.04297,0.38179,0.13558,102.72448,37.12474,200.13159,34.98102,164.03048,64.98743,326.11639,53.47537,-0.22825,0.00611,-0.21298,-0.24461,0.03651,0.00202,0.04137,0.03217,-0.15317,0.01078,-0.11439,-0.17333,-0.36990,0.01746,-0.33601,-0.42906,-3.94158,0.03403,-3.87617,-4.04268,-3.96165,0.03201,-3.85441,-4.03183,-3.96862,0.03145,-3.88650,-4.04202,-3.99685,0.02658,-3.91723,-4.07173,-4.00759,0.02994,-3.92754,-4.07323,-3.99239,0.03432,-3.87842,-4.07531,-3.97811,0.01816,-3.92642,-4.01940,0.50759,0.02598,0.59113,0.44400,-2.30084,0.19676,-1.71056,-2.69288,-7.57318,0.71110,-6.26764,-10.52812,0.04855,0.01675,0.08509,0.01135,0.12999,0.00773,0.15141,0.11497,0.68261,0.06128,0.90976,0.54644,-0.47211,0.05269,-0.34625,-0.64996
9,455.6559796333313,24000,-7521.53834,-9120.57673,-6.16167,0.02758,9.92788,445.70047,-10015.83311,-5018.63565,-6020.35469,-7027.48310,-8024.59873,-9023.97865,-7.75850,0.01505,-7.71889,-7.80079,0.56648,0.00973,0.58342,0.54989,0.56633,0.00974,0.58328,0.54972,0.56623,0.00973,0.58317,0.54963,0.56602,0.00975,0.58299,0.54939,0.56596,0.00976,0.58295,0.54932,0.56604,0.00976,0.58303,0.54940,-5.65271,0.16487,-5.36375,-5.95366,39.33664,1.52489,42.13732,36.46101,1.05975,0.12588,1.60391,0.85935,1.02665,0.07842,1.24447,0.83817,0.24685,0.04757,0.39281,0.15386,129.69604,46.19591,289.48901,46.20919,129.83247,30.17461,214.53500,36.06324,-0.23986,0.00616,-0.22530,-0.25387,0.04190,0.00265,0.05003,0.03615,-0.15330,0.00936,-0.11877,-0.17235,-0.40751,0.02288,-0.36349,-0.47750,-3.89699,0.04056,-3.79967,-3.98941,-3.91944,0.03835,-3.81412,-4.02838,-3.92495,0.04202,-3.79140,-4.02935,-3.95923,0.03559,-3.81854,-4.04494,-3.97477,0.04021,-3.86219,-4.08095,-3.96475,0.04093,-3.84871,-4.05382,-3.94002,0.02621,-3.86929,-3.99920,0.56589,0.03643,0.66350,0.48952,-1.96137,0.30067,-1.00016,-2.60856,-7.77536,0.86865,-6.40942,-11.37749,0.05328,0.01968,0.09563,0.01271,0.15072,0.01135,0.17990,0.12649,0.81365,0.08483,1.11021,0.61253,-0.52513,0.05600,-0.40544,-0.69969
