EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,backward_eval_rewards,forward_eval_rewards,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,alpha_0_Mean,alpha_0_Std,alpha_0_Max,alpha_0_Min,alpha_1_Mean,alpha_1_Std,alpha_1_Max,alpha_1_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_norm_Mean,Training/pf_norm_Std,Training/pf_norm_Max,Training/pf_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_prob_0_Mean,log_prob_0_Std,log_prob_0_Max,log_prob_0_Min,log_prob_1_Mean,log_prob_1_Std,log_prob_1_Max,log_prob_1_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
10,4.4285619258880615,12400,-1.50170,-129.01777,0.11067,0.00205,2.64333,1.78314,-1.71670,-2.60719,-0.19414,0.01934,-0.12770,-0.26008,0.53290,0.00920,0.54891,0.51720,0.53290,0.00920,0.54892,0.51720,-6.31830,0.17165,-6.02176,-6.61496,-25.52591,0.45983,-24.60378,-26.77316,0.71770,0.14421,1.08648,0.48720,0.69463,0.11264,0.98509,0.51158,0.19713,0.02405,0.26492,0.15184,80.05274,24.53123,132.69180,28.31937,72.60759,22.43387,119.51907,28.89491,-0.14767,0.00471,-0.13940,-0.16646,0.02250,0.00242,0.02987,0.01697,-0.08754,0.00734,-0.06141,-0.10219,-0.30626,0.02279,-0.22573,-0.33838,-4.04088,0.01691,-3.99434,-4.08168,-4.04061,0.01797,-3.99333,-4.10308,-4.04074,0.01294,-4.00557,-4.08486,0.44716,0.01754,0.49433,0.38884,-2.41920,0.22828,-1.58592,-2.88009,-6.83313,0.71654,-5.83321,-9.47300,-0.00334,0.01518,0.02436,-0.04293,0.11993,0.00411,0.12947,0.10989,0.41551,0.04926,0.62614,0.31866,-0.45981,0.04233,-0.37189,-0.60995
11,4.723158359527588,12800,-2.12090,-10.68092,-0.28145,0.00168,2.21034,2.51109,-2.79498,-4.19380,-0.18779,0.02129,-0.13459,-0.25042,0.50196,0.00866,0.51704,0.48718,0.50197,0.00866,0.51705,0.48719,-6.91056,0.17126,-6.61440,-7.21593,-26.75973,0.46165,-25.92537,-27.94509,0.72599,0.14190,1.11529,0.51419,0.68088,0.12254,1.11559,0.47896,0.20269,0.02399,0.27689,0.15708,84.73397,24.88213,132.38264,37.50624,72.23446,25.48014,144.37218,16.52222,-0.15003,0.00473,-0.14126,-0.16114,0.02697,0.00212,0.03515,0.02245,-0.08836,0.00581,-0.07366,-0.10477,-0.34290,0.01675,-0.26105,-0.37301,-4.02875,0.02144,-3.96532,-4.09025,-4.02910,0.01994,-3.95355,-4.08519,-4.02893,0.01603,-3.96885,-4.07570,0.47130,0.01654,0.51497,0.41983,-2.34676,0.20270,-1.61775,-2.77425,-6.88923,0.74563,-5.71754,-10.81459,-0.00150,0.01666,0.03011,-0.03420,0.13055,0.00552,0.14597,0.11793,0.47213,0.06068,0.67572,0.36146,-0.47683,0.05105,-0.36062,-0.61990
12,5.307648181915283,13200,-2.90266,39.61738,-0.29955,0.00174,2.50533,2.80053,-3.85184,-5.01915,-0.18742,0.02102,-0.12179,-0.24021,0.47285,0.00815,0.48704,0.45894,0.47285,0.00816,0.48704,0.45893,-7.49770,0.17055,-7.19179,-7.78633,-27.95884,0.42641,-27.07586,-28.99038,0.73256,0.14907,1.10567,0.49042,0.56077,0.03648,0.68395,0.45214,0.21640,0.02875,0.30675,0.15764,88.58127,26.25417,138.85951,32.42006,47.10761,10.87050,71.52892,18.45408,-0.15409,0.00505,-0.14192,-0.16576,0.03148,0.00305,0.04140,0.02468,-0.07855,0.00520,-0.06336,-0.09226,-0.37444,0.02584,-0.27121,-0.41870,-4.00996,0.01904,-3.95165,-4.06340,-4.01522,0.02093,-3.95578,-4.06678,-4.01259,0.01516,-3.96400,-4.04862,0.49956,0.01756,0.55958,0.45664,-2.17793,0.28701,-0.55433,-2.64379,-6.92505,0.80247,-5.63321,-10.75869,-0.00265,0.01324,0.03116,-0.02882,0.14379,0.00500,0.15876,0.13213,0.53403,0.07745,0.76911,0.39402,-0.53949,0.05384,-0.42190,-0.68752
13,5.35254430770874,13600,-3.40426,-71.70615,-0.09835,0.04489,2.91625,2.39131,-4.03541,-5.85557,-0.18229,0.02166,-0.10752,-0.24417,0.44544,0.00768,0.45880,0.43234,0.44543,0.00768,0.45879,0.43233,-8.08305,0.16838,-7.78997,-8.38028,-28.95613,0.41020,-27.97498,-29.94181,0.75162,0.16017,1.17440,0.50299,0.55236,0.04520,0.69864,0.46515,0.22032,0.02753,0.32259,0.16540,92.93096,28.96621,155.06346,25.61563,48.72298,14.55591,85.53400,14.71958,-0.15880,0.00513,-0.14649,-0.17326,0.03576,0.00246,0.04367,0.02921,-0.07340,0.00788,-0.04050,-0.09550,-0.41738,0.02895,-0.30736,-0.46220,-3.99573,0.02130,-3.94176,-4.04180,-3.99818,0.02218,-3.93052,-4.06891,-3.99695,0.01561,-3.95300,-4.03486,0.52708,0.02079,0.58827,0.47327,-2.05021,0.25585,-1.15070,-2.61505,-6.89925,0.72428,-5.61956,-11.45536,-0.00232,0.01373,0.03678,-0.02963,0.15505,0.00575,0.16849,0.14281,0.58678,0.06696,0.79141,0.41196,-0.60071,0.06395,-0.43230,-0.77879
14,4.975572824478149,14000,-3.46702,-56.26217,0.19229,0.00165,2.92832,2.04555,-1.63489,-2.96071,-0.17745,0.02099,-0.11940,-0.23526,0.41963,0.00723,0.43221,0.40730,0.41962,0.00723,0.43220,0.40729,-8.66237,0.16714,-8.36164,-8.96257,-29.87170,0.40388,-28.99876,-30.85391,0.75552,0.15768,1.16418,0.51255,0.54468,0.04603,0.66942,0.44437,0.21306,0.02402,0.31627,0.17134,96.96504,28.59170,157.51317,36.65605,54.49491,15.16804,91.99265,18.10342,-0.16493,0.00621,-0.15134,-0.17927,0.04026,0.00303,0.04880,0.03423,-0.07167,0.00891,-0.04455,-0.09249,-0.44035,0.02756,-0.30514,-0.49001,-3.97564,0.02421,-3.90814,-4.05233,-3.97837,0.02432,-3.91392,-4.04428,-3.97700,0.01835,-3.91973,-4.02650,0.55703,0.01957,0.61831,0.50900,-1.89619,0.29677,-0.42992,-2.52600,-6.96143,0.74600,-5.64734,-11.40948,-0.00514,0.01537,0.02561,-0.04982,0.16706,0.00541,0.17985,0.15396,0.63742,0.08704,0.91735,0.45366,-0.64335,0.05991,-0.50180,-0.83267
15,4.538022756576538,14400,-4.25525,52.83531,-0.71677,0.00205,2.33410,2.20183,-5.38181,-6.82435,-0.18453,0.01957,-0.12906,-0.23853,0.39534,0.00680,0.40718,0.38373,0.39532,0.00680,0.40717,0.38371,-9.24019,0.16502,-8.94086,-9.52877,-30.67546,0.36749,-29.89045,-31.42556,0.76580,0.15690,1.13993,0.51232,0.54643,0.05788,0.75605,0.40799,0.22790,0.03024,0.37609,0.16823,100.13955,28.74474,157.77654,34.43190,56.72824,17.40842,114.53514,17.64935,-0.16747,0.00538,-0.15436,-0.18266,0.04450,0.00337,0.05345,0.03555,-0.06979,0.00803,-0.04077,-0.08624,-0.46144,0.02594,-0.35356,-0.49798,-3.95761,0.02647,-3.88016,-4.03151,-3.95933,0.02452,-3.89977,-4.02126,-3.95847,0.01926,-3.89002,-4.01772,0.59006,0.02163,0.65257,0.52520,-1.66815,0.33252,-0.70006,-2.44689,-6.99849,0.64332,-5.69806,-9.43093,-0.00227,0.01581,0.05065,-0.03819,0.18056,0.00653,0.19598,0.16519,0.72357,0.09877,1.01297,0.52979,-0.69748,0.06972,-0.54819,-0.92569
16,4.941083669662476,14800,-4.01656,-183.96154,-0.72245,0.00178,2.40754,2.53171,-1.40272,-3.19910,-0.19829,0.02151,-0.14352,-0.26986,0.37246,0.00641,0.38361,0.36153,0.37245,0.00641,0.38360,0.36152,-9.81373,0.16733,-9.50734,-10.10280,-31.39559,0.35865,-30.61678,-32.24164,0.78482,0.16610,1.23483,0.51886,0.55095,0.05725,0.78875,0.45925,0.23232,0.03228,0.33902,0.16858,101.92209,31.84118,174.46411,32.36032,56.32404,17.34995,107.44402,15.20655,-0.17052,0.00576,-0.15658,-0.18554,0.04842,0.00283,0.05450,0.04089,-0.06095,0.00724,-0.04448,-0.07525,-0.48166,0.02417,-0.36168,-0.52095,-3.93679,0.02621,-3.86315,-4.01809,-3.93960,0.02812,-3.86965,-4.01585,-3.93820,0.02157,-3.86989,-4.00194,0.62479,0.02367,0.68800,0.54295,-1.39390,0.36490,-0.26061,-2.09949,-7.26980,0.85177,-5.90269,-10.69272,0.00170,0.01879,0.05187,-0.03221,0.19233,0.00645,0.20765,0.17848,0.77865,0.09298,1.03857,0.60858,-0.73098,0.07731,-0.58196,-1.04084
17,5.819374084472656,15200,-3.71787,-252.52587,-0.77192,0.03602,2.37780,3.40550,-2.38548,-3.49869,-0.20316,0.02049,-0.13692,-0.27017,0.35092,0.00603,0.36142,0.34063,0.35091,0.00603,0.36141,0.34061,-10.38527,0.16206,-10.07432,-10.68013,-32.02032,0.35773,-31.28845,-32.85046,0.76475,0.17054,1.25566,0.48742,0.54419,0.04828,0.70227,0.43172,0.23814,0.02827,0.32637,0.18010,100.58593,33.55350,179.12447,26.67170,62.75636,15.05252,103.75603,30.51354,-0.17293,0.00663,-0.15626,-0.19347,0.05442,0.00274,0.06133,0.04569,-0.05370,0.00970,-0.01172,-0.07162,-0.50941,0.02777,-0.38473,-0.56298,-3.91742,0.02813,-3.82646,-3.99423,-3.91986,0.03035,-3.84363,-3.98744,-3.91864,0.02315,-3.85470,-3.98877,0.65211,0.02504,0.72960,0.59358,-1.34986,0.36566,-0.07364,-1.97202,-7.26096,0.69506,-6.00677,-10.44719,0.00334,0.01222,0.02842,-0.02629,0.20332,0.00731,0.22084,0.18585,0.83304,0.09060,1.10939,0.64049,-0.77556,0.07065,-0.62486,-1.08389
18,6.951139688491821,15600,-3.80922,-145.74692,-0.03210,0.00169,2.75299,4.19641,-5.14202,-5.66242,-0.20389,0.01956,-0.15717,-0.25312,0.33065,0.00568,0.34053,0.32096,0.33063,0.00568,0.34051,0.32094,-10.94549,0.16276,-10.60136,-11.22386,-32.60248,0.22465,-32.09222,-33.21644,0.55789,0.04025,0.71585,0.47204,0.54209,0.05236,0.74055,0.43657,0.25074,0.03153,0.33824,0.19344,54.95345,15.55928,99.27177,18.94204,64.10537,16.23172,102.43217,22.63256,-0.17974,0.00712,-0.16556,-0.19723,0.05884,0.00455,0.07381,0.04888,-0.05173,0.00808,-0.03103,-0.07584,-0.56183,0.04096,-0.39949,-0.63975,-3.88977,0.03029,-3.80490,-3.97077,-3.89298,0.02914,-3.81515,-3.99011,-3.89137,0.02334,-3.83408,-3.94574,0.68548,0.02281,0.73950,0.62095,-1.08224,0.46791,0.70196,-1.88392,-7.25929,0.66027,-5.89807,-9.68710,0.00531,0.01922,0.05335,-0.04352,0.21604,0.00711,0.23129,0.20269,0.90364,0.10455,1.31038,0.70185,-0.81768,0.09049,-0.63816,-1.08234
19,10.077289819717407,16000,-3.67403,-91.33464,-0.05342,0.00166,2.73579,7.33979,-1.61375,-1.62998,-0.20104,0.01869,-0.14606,-0.24528,0.31156,0.00534,0.32086,0.30245,0.31154,0.00534,0.32084,0.30243,-11.49474,0.15540,-11.17166,-11.78802,-33.08743,0.25494,-32.60534,-33.69005,0.56144,0.04893,0.68075,0.45871,0.53920,0.04506,0.68446,0.42988,0.26824,0.03604,0.35426,0.18907,63.04279,13.96303,96.68365,28.40835,65.71202,13.95988,100.74617,19.65079,-0.18884,0.00854,-0.17024,-0.20924,0.06688,0.00441,0.07734,0.05363,-0.04409,0.01056,-0.01312,-0.06925,-0.64218,0.03970,-0.48594,-0.70794,-3.85572,0.03624,-3.75594,-3.94535,-3.86053,0.03396,-3.74850,-3.94900,-3.85812,0.02788,-3.79388,-3.93448,0.72555,0.03182,0.81661,0.65703,-0.82758,0.49815,0.80235,-1.90277,-7.33929,0.79597,-6.03940,-10.89945,0.00629,0.02112,0.05824,-0.04049,0.22919,0.00885,0.25237,0.20786,0.97283,0.11523,1.36832,0.71515,-0.88632,0.08781,-0.67617,-1.17906
