EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,backward_eval_rewards,forward_eval_rewards,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,alpha_0_Mean,alpha_0_Std,alpha_0_Max,alpha_0_Min,alpha_1_Mean,alpha_1_Std,alpha_1_Max,alpha_1_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_norm_Mean,Training/pf_norm_Std,Training/pf_norm_Max,Training/pf_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_prob_0_Mean,log_prob_0_Std,log_prob_0_Max,log_prob_0_Min,log_prob_1_Mean,log_prob_1_Std,log_prob_1_Max,log_prob_1_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
0,2.002345561981201,8400,-0.10502,-119.55876,-0.77719,0.07363,1.92034,0.00103,0.29227,-0.50230,-0.21299,0.02067,-0.14498,-0.25999,0.97043,0.01681,0.99970,0.94174,0.97043,0.01681,0.99970,0.94174,-0.30164,0.17503,-0.00000,-0.60232,-7.72347,1.05272,-3.99489,-9.24551,1.71252,3.13980,15.19721,0.53347,1.82766,3.22479,15.30681,0.56198,0.32944,0.15250,1.42024,0.14966,14.83466,25.62225,145.05727,0.76068,19.45113,26.70438,163.93884,0.66013,-0.12941,0.01820,0.00053,-0.17579,0.00613,0.00170,0.01072,0.00183,-0.11536,0.01678,0.00574,-0.15242,-0.14372,0.02132,-0.00390,-0.21865,-4.09879,0.01427,-4.02164,-4.13432,-4.09978,0.01445,-3.99943,-4.13021,-4.09929,0.01204,-4.01053,-4.12208,0.29656,0.03089,0.53435,0.24489,-3.30965,0.13942,-2.18020,-3.57167,-6.60746,0.73175,-5.56985,-10.04198,0.00183,0.00367,0.01192,-0.00689,0.01264,0.00376,0.02025,0.00588,0.02514,0.00933,0.04725,0.00884,-0.02246,0.00880,-0.00402,-0.04949
1,2.9209835529327393,8800,-0.02284,-167.00493,-0.77733,0.00162,2.91016,0.00103,0.09423,0.02444,-0.21430,0.01933,-0.13318,-0.26646,0.91391,0.01583,0.94146,0.88690,0.91391,0.01583,0.94146,0.88690,-0.90777,0.17488,-0.60673,-1.21009,-9.53666,0.55944,-8.59255,-10.58199,0.58032,0.03692,0.71997,0.50412,0.59732,0.03497,0.72752,0.52285,0.23548,0.04742,0.37296,0.14516,5.45427,3.63978,19.60072,0.88235,6.98830,4.09102,18.70275,1.06589,-0.12941,0.00477,-0.11962,-0.13907,0.00767,0.00203,0.01326,0.00348,-0.11161,0.00665,-0.09313,-0.12855,-0.15270,0.00825,-0.13360,-0.17860,-4.10064,0.01172,-4.06577,-4.12825,-4.10027,0.01256,-4.07005,-4.13775,-4.10046,0.00887,-4.07751,-4.12498,0.29756,0.01530,0.36439,0.25976,-3.29383,0.07967,-3.02850,-3.48377,-6.67490,0.78576,-5.54474,-11.06083,0.00252,0.00326,0.01121,-0.00594,0.01820,0.00406,0.02730,0.00771,0.05074,0.01488,0.08403,0.02129,-0.04320,0.01203,-0.01962,-0.07181
2,5.5083537101745605,9200,-0.06522,-123.40460,-0.22559,0.00154,2.65416,2.85256,0.49425,-0.79420,-0.20908,0.02158,-0.14387,-0.27606,0.86069,0.01490,0.88663,0.83526,0.86069,0.01490,0.88663,0.83526,-1.51339,0.17461,-1.21364,-1.81504,-11.57611,0.62534,-10.35184,-12.74008,0.55702,0.04102,0.73171,0.48232,0.56844,0.03418,0.68378,0.50515,0.19893,0.03433,0.29908,0.11727,11.37149,7.02796,34.36633,1.76795,10.67198,6.39933,34.99603,1.85454,-0.12830,0.00546,-0.11808,-0.14152,0.00878,0.00135,0.01291,0.00640,-0.10590,0.00626,-0.09148,-0.11907,-0.15990,0.00863,-0.14119,-0.18591,-4.09804,0.01165,-4.05818,-4.13311,-4.09799,0.01224,-4.06524,-4.13295,-4.09802,0.00846,-4.07251,-4.12208,0.29996,0.01460,0.34817,0.25977,-3.26350,0.08712,-2.89519,-3.43683,-6.63126,0.77873,-5.36970,-10.73758,0.00426,0.00513,0.01498,-0.00845,0.02297,0.00396,0.03476,0.01616,0.08505,0.01450,0.11852,0.05905,-0.06310,0.01670,-0.02835,-0.08921
3,4.662963151931763,9600,-0.14983,-11.30941,0.93835,0.00200,2.83618,1.82474,-0.34399,-0.46334,-0.20976,0.01967,-0.14656,-0.26747,0.81058,0.01404,0.83501,0.78662,0.81058,0.01404,0.83501,0.78662,-2.11896,0.17488,-1.81834,-2.42028,-13.68365,0.63689,-12.50426,-14.97320,0.55410,0.04315,0.68721,0.46320,0.58171,0.03925,0.69935,0.49974,0.18382,0.02777,0.25947,0.12140,17.24799,9.08306,38.20023,2.34546,19.58384,7.32852,40.11604,4.35179,-0.12565,0.00446,-0.11641,-0.13865,0.00935,0.00161,0.01410,0.00637,-0.09968,0.00675,-0.08370,-0.11535,-0.16462,0.01104,-0.14266,-0.18901,-4.09679,0.01271,-4.06566,-4.14498,-4.09726,0.01169,-4.06357,-4.12453,-4.09702,0.00841,-4.07168,-4.11642,0.30791,0.01396,0.34425,0.26873,-3.19290,0.09241,-2.85044,-3.39079,-6.59135,0.70094,-5.47683,-9.64867,0.00402,0.00486,0.01390,-0.00628,0.03165,0.00407,0.04097,0.02327,0.09765,0.01337,0.12917,0.07164,-0.10217,0.01970,-0.06457,-0.14915
4,6.333938837051392,10000,-0.17489,-111.45436,-0.26271,0.00161,2.46943,3.86285,-0.38847,-0.16175,-0.20793,0.02013,-0.14258,-0.26989,0.76339,0.01322,0.78639,0.74083,0.76339,0.01322,0.78639,0.74083,-2.72358,0.17471,-2.42499,-3.02412,-15.74590,0.62628,-14.58309,-17.14290,0.58704,0.05711,0.79493,0.46524,0.57826,0.05279,0.78661,0.46234,0.17554,0.02935,0.26456,0.12108,28.41964,10.38234,58.50653,5.31978,20.55911,10.67394,49.95352,4.59166,-0.12723,0.00402,-0.11616,-0.13509,0.00818,0.00109,0.01101,0.00565,-0.10370,0.00605,-0.09034,-0.11706,-0.16768,0.01044,-0.14873,-0.20597,-4.09336,0.01252,-4.05400,-4.12642,-4.09313,0.01168,-4.06732,-4.13532,-4.09325,0.00834,-4.07502,-4.11451,0.31498,0.01507,0.36628,0.27955,-3.13883,0.10763,-2.76179,-3.34433,-6.54592,0.69970,-5.42768,-9.71217,0.00295,0.00491,0.01344,-0.00851,0.04089,0.00537,0.05371,0.03248,0.11842,0.02261,0.16051,0.07263,-0.13976,0.02327,-0.09266,-0.19774
5,4.326311826705933,10400,-0.17637,-53.96549,-0.67047,0.03810,2.62539,1.66275,0.08228,-0.30713,-0.20783,0.02001,-0.15940,-0.26297,0.71895,0.01244,0.74061,0.69772,0.71895,0.01244,0.74061,0.69772,-3.32763,0.17443,-3.02523,-3.62624,-17.73882,0.60126,-16.47444,-18.90150,0.53720,0.02918,0.62827,0.46963,0.58994,0.06934,0.83811,0.48178,0.17211,0.02545,0.23142,0.11491,19.89939,6.60481,38.14441,7.72389,30.37018,13.24721,73.47102,7.08567,-0.12980,0.00390,-0.11864,-0.13876,0.01037,0.00145,0.01389,0.00765,-0.09853,0.00553,-0.08619,-0.11095,-0.17732,0.01241,-0.15614,-0.23419,-4.08945,0.01273,-4.05248,-4.12667,-4.08962,0.01280,-4.05502,-4.12251,-4.08953,0.00933,-4.06653,-4.12287,0.32862,0.01412,0.38080,0.29833,-3.05921,0.13509,-2.32458,-3.30362,-6.62421,0.73402,-5.49598,-10.18637,0.00137,0.00610,0.01285,-0.01381,0.05292,0.00403,0.06512,0.04566,0.15992,0.02473,0.22755,0.11616,-0.18121,0.02269,-0.13322,-0.24563
6,6.142187833786011,10800,-0.26792,-67.52464,0.51999,0.00163,2.65280,3.48770,0.29126,-1.08807,-0.20201,0.02100,-0.14398,-0.25225,0.67711,0.01172,0.69751,0.65712,0.67711,0.01172,0.69751,0.65713,-3.93013,0.17352,-3.62737,-4.22621,-19.59437,0.52608,-18.61845,-20.79742,0.52931,0.03319,0.65374,0.45990,0.60583,0.08686,0.91239,0.45676,0.17472,0.02760,0.27119,0.12312,26.30747,8.09868,54.39844,6.76684,39.16581,19.48515,85.68063,6.52168,-0.13416,0.00398,-0.12585,-0.14386,0.01199,0.00159,0.01670,0.00894,-0.09680,0.00548,-0.08632,-0.10985,-0.18811,0.01125,-0.16369,-0.22453,-4.08334,0.01439,-4.04239,-4.12252,-4.08350,0.01475,-4.04465,-4.12355,-4.08342,0.01015,-4.05628,-4.11023,0.34564,0.01536,0.38161,0.31338,-2.96460,0.14041,-2.21710,-3.23087,-6.61791,0.70223,-5.43241,-10.09927,0.00025,0.00769,0.01679,-0.01491,0.06648,0.00385,0.07910,0.05819,0.20063,0.02430,0.27895,0.15612,-0.24643,0.03267,-0.18373,-0.33326
7,10.513287782669067,11200,-0.34326,-39.82902,-0.08149,0.00164,2.68005,7.83155,-0.16135,-0.89201,-0.20005,0.01907,-0.14056,-0.25080,0.63773,0.01103,0.65692,0.61891,0.63773,0.01103,0.65693,0.61891,-4.53072,0.17315,-4.23495,-4.82863,-21.29412,0.52743,-20.26199,-22.43457,0.53746,0.05078,0.75121,0.44450,0.65249,0.09103,0.91264,0.48786,0.17831,0.02476,0.28172,0.11284,30.90116,12.49835,62.72492,8.07005,54.10511,16.92957,92.98114,16.21824,-0.13840,0.00448,-0.12703,-0.15062,0.01480,0.00207,0.01996,0.01073,-0.09463,0.00659,-0.07706,-0.11126,-0.21392,0.01912,-0.17558,-0.24824,-4.07484,0.01441,-4.03138,-4.11452,-4.07570,0.01412,-4.03142,-4.11565,-4.07527,0.01015,-4.04743,-4.10167,0.36629,0.01746,0.41012,0.31567,-2.83880,0.16952,-2.28235,-3.15708,-6.69744,0.69286,-5.53669,-9.52976,-0.00281,0.00814,0.01706,-0.02584,0.07967,0.00621,0.09000,0.06571,0.25948,0.04088,0.39450,0.18632,-0.30375,0.04047,-0.21374,-0.41541
8,5.494814395904541,11600,-0.75002,-42.42259,0.31824,0.00169,2.45261,3.04047,-1.96759,-2.90736,-0.19758,0.02051,-0.14593,-0.25332,0.60065,0.01038,0.61872,0.58294,0.60065,0.01038,0.61873,0.58294,-5.12889,0.17261,-4.82681,-5.42869,-22.77402,0.48960,-21.72569,-24.02493,0.69264,0.15907,1.33161,0.44189,0.66361,0.10068,0.96792,0.46005,0.18538,0.02476,0.26820,0.13162,68.51502,26.04416,146.52058,14.99198,60.31198,19.05776,99.26421,14.59084,-0.14385,0.00455,-0.13254,-0.15438,0.01699,0.00168,0.02155,0.01338,-0.09569,0.00785,-0.07252,-0.11034,-0.25368,0.01770,-0.20013,-0.29321,-4.06530,0.01534,-4.02073,-4.11074,-4.06451,0.01674,-4.02014,-4.12174,-4.06490,0.01201,-4.03474,-4.09886,0.39071,0.01619,0.43163,0.34287,-2.73981,0.16849,-2.01200,-3.04122,-6.78326,0.69357,-5.60604,-8.58261,-0.00224,0.00910,0.01628,-0.02176,0.09375,0.00534,0.10804,0.08071,0.31445,0.04020,0.41309,0.22325,-0.33950,0.03896,-0.25303,-0.48064
9,5.829753398895264,12000,-1.09180,-72.19741,-0.06946,0.00161,3.14304,2.68504,-1.75365,-2.21434,-0.20192,0.02097,-0.14992,-0.25022,0.56575,0.00977,0.58276,0.54908,0.56576,0.00977,0.58277,0.54908,-5.72447,0.17231,-5.42171,-6.02459,-24.20318,0.47702,-23.28444,-25.36916,0.70215,0.14362,1.13661,0.47465,0.67893,0.10562,0.92296,0.49451,0.19095,0.02312,0.26536,0.14681,74.82917,24.16883,128.83209,15.78029,66.42708,20.41600,110.09678,23.81790,-0.14470,0.00449,-0.13527,-0.15557,0.01983,0.00182,0.02418,0.01589,-0.09232,0.00669,-0.07472,-0.10829,-0.27955,0.01332,-0.22900,-0.30471,-4.05337,0.01693,-4.01331,-4.09716,-4.05220,0.01507,-4.01208,-4.09969,-4.05279,0.01098,-4.02439,-4.08179,0.42143,0.01600,0.45878,0.37244,-2.55213,0.18770,-1.95403,-2.94149,-6.69809,0.63839,-5.51883,-9.45794,-0.00386,0.01176,0.02715,-0.03317,0.10847,0.00404,0.11956,0.09717,0.35698,0.03895,0.46323,0.26923,-0.41754,0.03863,-0.32069,-0.51129
