EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,backward_eval_rewards,forward_eval_rewards,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,alpha_0_Mean,alpha_0_Std,alpha_0_Max,alpha_0_Min,alpha_1_Mean,alpha_1_Std,alpha_1_Max,alpha_1_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_norm_Mean,Training/pf_norm_Std,Training/pf_norm_Max,Training/pf_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_prob_0_Mean,log_prob_0_Std,log_prob_0_Max,log_prob_0_Min,log_prob_1_Mean,log_prob_1_Std,log_prob_1_Max,log_prob_1_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
0,2.0808894634246826,8400,-0.06693,-97.18326,-0.40398,0.16050,1.91275,0.00082,0.57582,-0.70967,-0.24102,0.02031,-0.18875,-0.30114,0.97043,0.01682,0.99970,0.94174,0.97043,0.01681,0.99970,0.94174,-0.30168,0.17501,-0.00000,-0.60383,-7.80180,1.05507,-3.99080,-9.72367,1.74333,3.09880,14.76506,0.53472,1.74296,3.08070,14.74712,0.52432,0.33872,0.15774,1.48312,0.10471,17.75840,35.61795,208.20857,0.61733,19.59673,34.64615,206.01521,0.56101,-0.12929,0.02063,0.00110,-0.18775,0.00683,0.00225,0.01266,0.00254,-0.11654,0.02026,0.00777,-0.16974,-0.14112,0.02176,-0.00349,-0.20211,-4.09872,0.01592,-3.96979,-4.12641,-4.09994,0.01518,-3.99631,-4.13822,-4.09933,0.01332,-3.98305,-4.12000,0.29767,0.03209,0.52182,0.24522,-3.31741,0.14865,-2.32067,-3.59976,-6.64714,0.67601,-5.26567,-9.99624,0.00144,0.00605,0.01522,-0.01836,0.01073,0.00352,0.01998,0.00295,0.01852,0.00884,0.04406,-0.00497,-0.01416,0.00887,0.00116,-0.04209
1,2.8545174598693848,8800,0.05082,-8.45153,0.38582,0.00154,2.83428,0.01125,0.00775,0.32940,-0.24017,0.01991,-0.18706,-0.29902,0.91390,0.01583,0.94146,0.88689,0.91391,0.01583,0.94146,0.88690,-0.90778,0.17496,-0.60622,-1.20990,-9.56768,0.57061,-8.60255,-10.73029,0.57902,0.03053,0.72567,0.49297,0.58769,0.03287,0.70804,0.50810,0.23375,0.04299,0.36060,0.13089,5.83289,3.56333,19.24611,0.89780,7.37183,4.34050,22.84611,1.09243,-0.13041,0.00629,-0.11676,-0.14560,0.00618,0.00165,0.00990,0.00249,-0.11842,0.00687,-0.10356,-0.13719,-0.14537,0.00922,-0.12895,-0.17557,-4.10058,0.01095,-4.06991,-4.13819,-4.09989,0.01052,-4.07301,-4.12647,-4.10023,0.00796,-4.08158,-4.12304,0.29120,0.01556,0.36026,0.24668,-3.32094,0.07668,-3.06731,-3.49091,-6.54139,0.64907,-5.31369,-9.29929,0.00144,0.00532,0.01160,-0.01401,0.01202,0.00230,0.02032,0.00854,0.02878,0.01053,0.06609,0.01103,-0.02308,0.01008,-0.00241,-0.05025
2,4.906017541885376,9200,-0.05296,-165.04990,-0.37207,0.00147,2.72558,2.17891,-0.47648,-0.04458,-0.23489,0.02040,-0.18244,-0.29823,0.86068,0.01491,0.88662,0.83525,0.86069,0.01491,0.88663,0.83525,-1.51361,0.17481,-1.21097,-1.81430,-11.61644,0.61831,-10.42441,-12.90494,0.54079,0.02966,0.62052,0.47158,0.56714,0.04589,0.78728,0.48471,0.20512,0.04058,0.31209,0.11730,7.62957,3.62486,20.38156,1.46489,11.66827,8.33240,47.81499,1.62507,-0.12922,0.00578,-0.11688,-0.14146,0.00781,0.00149,0.01093,0.00405,-0.11181,0.00603,-0.09757,-0.12711,-0.15558,0.00873,-0.13317,-0.17976,-4.09881,0.01022,-4.07186,-4.12181,-4.09930,0.01121,-4.07173,-4.13236,-4.09905,0.00730,-4.08063,-4.11979,0.29486,0.01473,0.33315,0.26122,-3.29788,0.07836,-3.06894,-3.46323,-6.55107,0.69051,-5.29868,-10.22041,0.00060,0.00402,0.00794,-0.01092,0.01752,0.00263,0.02425,0.01337,0.04957,0.01064,0.08655,0.03216,-0.04907,0.01180,-0.02057,-0.07494
3,4.218166351318359,9600,-0.23627,-19.59970,0.28379,0.00153,2.45857,1.75801,-0.46087,-1.11152,-0.23471,0.01992,-0.17886,-0.28546,0.81057,0.01404,0.83500,0.78662,0.81057,0.01404,0.83500,0.78662,-2.11922,0.17468,-1.81752,-2.42243,-13.74248,0.61704,-12.39722,-14.98059,0.54283,0.04454,0.72760,0.44425,0.53548,0.03919,0.73941,0.47491,0.18153,0.03416,0.28913,0.10453,17.19586,9.03329,42.87720,3.10840,12.65457,6.74123,41.20097,2.37048,-0.12697,0.00565,-0.11419,-0.13968,0.00796,0.00221,0.01623,0.00510,-0.10654,0.00709,-0.08946,-0.12219,-0.15436,0.01212,-0.13366,-0.19496,-4.09691,0.01148,-4.06474,-4.13124,-4.09871,0.01188,-4.06113,-4.12903,-4.09781,0.00864,-4.07370,-4.12278,0.30078,0.01451,0.34296,0.26545,-3.25387,0.08420,-2.98423,-3.45564,-6.55467,0.63242,-5.24907,-8.76683,-0.00113,0.00482,0.00727,-0.01461,0.02405,0.00284,0.03000,0.01795,0.06544,0.01140,0.09224,0.04117,-0.07647,0.01534,-0.04223,-0.12150
4,4.348212003707886,10000,-0.24247,-116.42385,-0.82492,0.00196,2.45731,1.88889,-0.67852,0.14397,-0.23501,0.02054,-0.18130,-0.29031,0.76337,0.01322,0.78638,0.74081,0.76337,0.01322,0.78638,0.74082,-2.72470,0.17475,-2.41996,-3.02415,-15.79015,0.59825,-14.53860,-17.06413,0.57796,0.05886,0.74875,0.47575,0.55012,0.05974,0.74059,0.44606,0.16549,0.03267,0.28552,0.07726,27.42433,11.08075,54.63961,3.94476,23.09543,12.66128,54.95833,4.50829,-0.12715,0.00566,-0.11428,-0.13929,0.00904,0.00169,0.01296,0.00579,-0.10279,0.00732,-0.08346,-0.11846,-0.15961,0.00986,-0.13802,-0.18032,-4.09623,0.01272,-4.05613,-4.13392,-4.09724,0.01169,-4.06828,-4.13598,-4.09673,0.00874,-4.07240,-4.11969,0.30883,0.01632,0.36071,0.26688,-3.20618,0.09303,-2.76290,-3.40728,-6.61112,0.70134,-5.41724,-9.02312,-0.00371,0.00605,0.01275,-0.01828,0.03235,0.00445,0.04188,0.02360,0.09681,0.02893,0.18484,0.04903,-0.12147,0.02071,-0.06470,-0.15957
5,3.275681495666504,10400,-0.24823,-88.83648,0.06762,0.00158,2.78404,0.49001,-0.03695,-0.15445,-0.22753,0.01875,-0.17210,-0.28412,0.71893,0.01245,0.74059,0.69769,0.71893,0.01245,0.74059,0.69769,-3.32920,0.17457,-3.02607,-3.63149,-17.66682,0.53953,-16.52614,-18.88173,0.60941,0.07398,0.84919,0.48408,0.59923,0.07092,0.83052,0.47051,0.16082,0.02831,0.26335,0.10010,35.54545,13.30795,69.31699,7.83375,37.69935,13.41106,69.53285,5.60343,-0.12542,0.00528,-0.11033,-0.13765,0.00965,0.00177,0.01506,0.00624,-0.09679,0.00736,-0.08151,-0.11571,-0.16538,0.01739,-0.13330,-0.22303,-4.09336,0.01297,-4.05953,-4.12318,-4.09334,0.01332,-4.06156,-4.12931,-4.09335,0.00927,-4.06918,-4.12095,0.32224,0.01523,0.36385,0.27628,-3.10399,0.11175,-2.73407,-3.33152,-6.55073,0.65077,-5.40548,-9.02452,-0.00335,0.00631,0.00786,-0.02480,0.04596,0.00507,0.05754,0.03788,0.17386,0.02167,0.22724,0.12463,-0.19344,0.03175,-0.13298,-0.28657
6,6.928641080856323,10800,-0.33157,-49.64803,-0.50330,0.00154,2.39159,4.53547,0.38283,-0.87915,-0.22926,0.01783,-0.18813,-0.27835,0.67708,0.01172,0.69748,0.65709,0.67709,0.01172,0.69748,0.65710,-3.93206,0.17429,-3.63171,-4.23318,-19.37967,0.50920,-18.35061,-20.36351,0.63507,0.08543,0.93138,0.49688,0.62191,0.08729,0.89953,0.46175,0.16339,0.02746,0.25950,0.10979,43.60386,15.32125,79.49029,10.20607,44.81005,16.52708,89.97142,9.20992,-0.12554,0.00417,-0.10837,-0.13232,0.01183,0.00180,0.01454,0.00841,-0.09368,0.00840,-0.07095,-0.11062,-0.17170,0.00827,-0.15324,-0.19487,-4.08814,0.01293,-4.05147,-4.12381,-4.08640,0.01407,-4.04515,-4.11991,-4.08727,0.00958,-4.06285,-4.11207,0.33567,0.01587,0.38443,0.30093,-3.01858,0.11424,-2.65591,-3.27510,-6.63864,0.74872,-5.40776,-10.12656,-0.00508,0.00768,0.01778,-0.02323,0.05622,0.00432,0.06363,0.04510,0.21903,0.02635,0.28921,0.16727,-0.24404,0.02605,-0.19162,-0.32260
7,4.3413450717926025,11200,-0.49916,-87.72563,-0.29857,0.00156,2.64008,1.69965,-0.42742,-1.76949,-0.22214,0.01911,-0.16303,-0.28256,0.63769,0.01103,0.65689,0.61886,0.63770,0.01103,0.65690,0.61888,-4.53395,0.17392,-4.23288,-4.83609,-21.05071,0.47160,-20.13983,-21.97122,0.65896,0.09814,0.96330,0.47121,0.64426,0.09447,0.88448,0.48371,0.15696,0.02342,0.22539,0.10320,51.28991,17.52171,93.76534,11.30613,52.58124,17.46612,88.57338,13.03013,-0.12753,0.00545,-0.11010,-0.14122,0.01235,0.00150,0.01516,0.00851,-0.09481,0.00714,-0.07336,-0.11084,-0.17542,0.01271,-0.15131,-0.21870,-4.08196,0.01267,-4.04919,-4.11427,-4.08040,0.01304,-4.04455,-4.11265,-4.08118,0.00925,-4.05780,-4.10991,0.35703,0.01485,0.39674,0.32269,-2.89524,0.13230,-2.39277,-3.16175,-6.64867,0.69901,-5.45261,-9.32847,-0.00482,0.00725,0.01312,-0.02496,0.06988,0.00411,0.07859,0.05956,0.24570,0.03245,0.34744,0.18618,-0.29510,0.02785,-0.23667,-0.38805
8,3.828845500946045,11600,-0.74132,-13.67239,-0.66328,0.00164,2.84625,0.98085,-2.08729,-1.90676,-0.22997,0.01864,-0.17853,-0.28542,0.60059,0.01039,0.61868,0.58287,0.60061,0.01039,0.61869,0.58289,-5.13453,0.17297,-4.83553,-5.43233,-22.56914,0.44082,-21.62157,-23.44902,0.68359,0.10655,0.99859,0.51168,0.66862,0.10129,0.94852,0.48740,0.15840,0.02465,0.24154,0.10689,58.50366,18.41104,98.22107,20.79026,59.20252,18.79581,104.02871,18.90330,-0.12692,0.00473,-0.11118,-0.13528,0.01336,0.00175,0.01698,0.00990,-0.08814,0.00806,-0.06686,-0.10719,-0.17487,0.01086,-0.14725,-0.20500,-4.07585,0.01578,-4.03278,-4.11110,-4.07285,0.01495,-4.03289,-4.11196,-4.07435,0.01031,-4.04729,-4.09806,0.37021,0.01622,0.43094,0.32728,-2.81472,0.15032,-2.23555,-3.17330,-6.57771,0.63089,-5.44369,-8.94134,-0.00436,0.00872,0.01305,-0.02650,0.07866,0.00438,0.08804,0.06968,0.26327,0.02983,0.35627,0.20795,-0.33590,0.04022,-0.21425,-0.45042
9,5.823719263076782,12000,-0.92239,-196.94435,-0.34913,0.00160,2.67864,3.14343,-1.00434,-1.34091,-0.23294,0.01941,-0.17440,-0.28203,0.56567,0.00978,0.58270,0.54898,0.56570,0.00978,0.58272,0.54901,-5.73426,0.17320,-5.42485,-6.03753,-23.97204,0.39723,-23.07141,-24.70982,0.69520,0.12253,1.07253,0.49662,0.68336,0.11292,0.95781,0.48729,0.15805,0.02324,0.23509,0.11034,64.00533,21.75228,114.42516,21.34860,65.56196,20.43212,108.15874,25.98078,-0.12879,0.00411,-0.11975,-0.14022,0.01490,0.00217,0.01871,0.00949,-0.08754,0.00712,-0.07358,-0.10948,-0.18471,0.01253,-0.15235,-0.21560,-4.06916,0.01607,-4.02684,-4.12079,-4.06637,0.01661,-4.02427,-4.12539,-4.06776,0.01189,-4.03469,-4.10327,0.39046,0.01782,0.43998,0.34192,-2.69363,0.17730,-1.74726,-3.03781,-6.68417,0.74749,-5.45777,-9.44543,-0.00496,0.00938,0.02000,-0.02550,0.08941,0.00447,0.09879,0.08040,0.29594,0.02809,0.36274,0.22849,-0.42519,0.05305,-0.30779,-0.57123
